school,link
Merchant Marine,/cfb/schools/merchant-marine/
Miami (FL),/cfb/schools/miami-fl/
Miami (OH),/cfb/schools/miami-oh/
Michigan,/cfb/schools/michigan/
Michigan State,/cfb/schools/michigan-state/
Middle Tennessee State,/cfb/schools/middle-tennessee-state/
Millsaps,/cfb/schools/millsaps/
Minnesota,/cfb/schools/minnesota/
Mississippi College,/cfb/schools/mississippi-college/
Mississippi State,/cfb/schools/mississippi-state/
Mississippi Valley State,/cfb/schools/mississippi-valley-state/
Missouri,/cfb/schools/missouri/
MIT,/cfb/schools/mit/
Montana,/cfb/schools/montana/
Montana State,/cfb/schools/montana-state/
Nashville,/cfb/schools/nashville/
Navy,/cfb/schools/navy/
Nebraska,/cfb/schools/nebraska/
Nevada,/cfb/schools/nevada/
Nevada-Las Vegas,/cfb/schools/nevada-las-vegas/
New Hampshire,/cfb/schools/new-hampshire/
New Mexico,/cfb/schools/new-mexico/
New Mexico State,/cfb/schools/new-mexico-state/
New York University,/cfb/schools/new-york-university/
Newberry,/cfb/schools/newberry/
Norman Naval Air Station,/cfb/schools/norman-naval-air-station/
North Carolina,/cfb/schools/north-carolina/
North Carolina Pre-Flight,/cfb/schools/north-carolina-pre-flight/
North Carolina State,/cfb/schools/north-carolina-state/
North Texas,/cfb/schools/north-texas/
Northern Arizona,/cfb/schools/northern-arizona/
Northern Colorado,/cfb/schools/northern-colorado/
Northern Illinois,/cfb/schools/northern-illinois/
Northwestern,/cfb/schools/northwestern/
Northwestern State,/cfb/schools/northwestern-state/
Notre Dame,/cfb/schools/notre-dame/
Oglethorpe,/cfb/schools/oglethorpe/
Ohio,/cfb/schools/ohio/
Ohio State,/cfb/schools/ohio-state/
Oklahoma,/cfb/schools/oklahoma/
Oklahoma State,/cfb/schools/oklahoma-state/
Old Dominion,/cfb/schools/old-dominion/
Ole Miss,/cfb/schools/mississippi/
Oregon,/cfb/schools/oregon/
Oregon State,/cfb/schools/oregon-state/
Pacific,/cfb/schools/pacific/
Penn State,/cfb/schools/penn-state/
Pennsylvania,/cfb/schools/pennsylvania/
Phillips,/cfb/schools/phillips/
Pitt,/cfb/schools/pittsburgh/
Portland,/cfb/schools/portland/
Prairie View A&M,/cfb/schools/prairie-view-am/
Presbyterian,/cfb/schools/presbyterian/
Princeton,/cfb/schools/princeton/
Purdue,/cfb/schools/purdue/
Quantico Marines,/cfb/schools/quantico-marines/
Randolph Field,/cfb/schools/randolph-field/
Regis (CO),/cfb/schools/regis-co/
Rhodes,/cfb/schools/rhodes/
Rice,/cfb/schools/rice/
