date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2019-09-07,@,Colorado,L (31-34),28,41,68.3,375,2,37,89,2.4,2,78,464,5.9,13,8,1,22,9,65,1,1,2
2019-09-14,,Northern Illinois,W (44-8),28,49,57.1,276,0,32,74,2.3,0,81,350,4.3,15,4,0,20,4,40,1,1,2
2019-09-21,@,Illinois,W (42-38),9,24,37.5,78,1,38,221,5.8,4,62,299,4.8,4,9,1,14,4,30,0,1,1
2019-09-28,,Ohio State,L (7-48),15,21,71.4,212,3,52,371,7.1,3,73,583,8.0,10,20,1,31,2,25,0,0,0
2019-10-05,,Northwestern,W (13-10),19,32,59.4,136,0,41,157,3.8,1,73,293,4.0,6,9,3,18,6,50,0,1,1
2019-10-12,@,Minnesota,L (7-34),8,13,61.5,128,1,49,322,6.6,4,62,450,7.3,4,16,0,20,4,42,0,0,0
2019-10-26,,Indiana,L (31-38),27,40,67.5,351,2,31,104,3.4,3,71,455,6.4,15,6,3,24,6,84,0,1,1
2019-11-02,@,Purdue,L (27-31),31,41,75.6,304,2,36,145,4.0,2,77,449,5.8,15,8,1,24,10,89,0,2,2
2019-11-16,,Wisconsin,L (21-37),13,21,61.9,162,1,43,324,7.5,2,64,486,7.6,8,16,1,25,4,36,1,0,1
2019-11-23,@,Maryland,W (54-7),7,21,33.3,57,0,31,149,4.8,1,52,206,4.0,5,4,0,9,4,40,4,0,4
2019-11-29,,Iowa,L (24-27),11,25,44.0,99,0,31,225,7.3,2,56,324,5.8,4,9,0,13,6,49,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,@,Ohio State,L (17-52),20,21,95.2,276,2,48,215,4.5,4,69,491,7.1,12,13,3,28,3,14,1,0,1
2020-11-07,@,Northwestern,L (13-21),16,27,59.3,169,2,38,148,3.9,1,65,317,4.9,9,5,0,14,8,64,0,2,2
2020-11-14,,Penn State,W (30-23),19,39,48.7,256,0,52,245,4.7,2,91,501,5.5,12,16,2,30,4,50,1,1,2
2020-11-21,,Illinois,L (23-41),18,25,72.0,205,1,52,285,5.5,4,77,490,6.4,9,14,2,25,3,31,0,0,0
2020-11-27,@,Iowa,L (20-26),18,30,60.0,193,1,45,129,2.9,1,75,322,4.3,12,8,2,22,2,20,0,1,1
2020-12-05,@,Purdue,W (37-27),33,47,70.2,334,3,17,-2,-0.1,0,64,332,5.2,15,1,3,19,11,126,0,0,0
2020-12-12,,Minnesota,L (17-24),17,30,56.7,181,1,43,206,4.8,2,73,387,5.3,10,7,2,19,3,20,0,0,0
2020-12-18,@,Rutgers,W (28-21),11,22,50.0,122,0,30,130,4.3,1,52,252,4.8,4,5,0,9,5,32,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,@,Illinois,L (22-30),15,19,78.9,159,2,48,167,3.5,1,67,326,4.9,8,9,1,18,3,40,1,0,1
2021-09-04,,Fordham,W (52-7),18,30,60.0,163,1,27,130,4.8,0,57,293,5.1,7,5,0,12,2,15,0,3,3
2021-09-11,,Buffalo,W (28-3),27,50,54.0,224,0,33,135,4.1,0,83,359,4.3,11,6,2,19,10,88,0,1,1
2021-09-18,@,Oklahoma,L (16-23),24,34,70.6,214,1,35,194,5.5,2,69,408,5.9,10,10,1,21,7,70,0,0,0
2021-09-25,@,Michigan State,L (20-23),14,23,60.9,183,1,30,71,2.4,0,53,254,4.8,6,4,2,12,5,44,0,1,1
2021-10-02,,Northwestern,W (56-7),25,40,62.5,256,1,26,37,1.4,0,66,293,4.4,10,6,1,17,6,53,1,0,1
2021-10-09,,Michigan,L (29-32),22,39,56.4,255,0,42,204,4.9,3,81,459,5.7,12,12,2,26,6,55,0,1,1
2021-10-16,@,Minnesota,L (23-30),21,25,84.0,214,3,43,182,4.2,1,68,396,5.8,9,12,1,22,3,25,0,2,2
2021-10-30,,Purdue,L (23-28),34,45,75.6,233,2,38,120,3.2,1,83,353,4.3,16,7,1,24,3,30,0,0,0
2021-11-06,,Ohio State,L (17-26),36,54,66.7,405,2,30,90,3.0,0,84,495,5.9,18,6,1,25,8,65,0,2,2
2021-11-20,@,Wisconsin,L (28-35),12,18,66.7,145,1,30,253,8.4,3,48,398,8.3,7,7,1,15,4,42,0,0,0
2021-11-26,,Iowa,L (21-28),13,27,48.1,178,0,37,186,5.0,1,64,364,5.7,9,7,3,19,4,25,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,N,Northwestern,L (28-31),27,38,71.1,314,2,47,214,4.6,2,85,528,6.2,14,11,0,25,8,65,1,0,1
2022-09-03,,North Dakota,W (38-17),24,37,64.9,131,1,33,175,5.3,1,70,306,4.4,6,10,2,18,6,70,1,0,1
2022-09-10,,Georgia Southern,L (42-45),37,56,66.1,409,1,30,233,7.8,5,86,642,7.5,21,9,4,34,3,15,0,2,2
2022-09-17,,Oklahoma,L (14-49),19,30,63.3,268,3,54,312,5.8,4,84,580,6.9,16,14,1,31,6,65,1,0,1
2022-10-01,,Indiana,W (35-21),22,44,50.0,223,1,23,67,2.9,1,67,290,4.3,10,2,2,14,11,92,0,1,1
2022-10-07,@,Rutgers,W (14-13),12,30,40.0,233,0,38,115,3.0,1,68,348,5.1,8,6,0,14,9,97,0,3,3
2022-10-15,@,Purdue,L (37-43),35,54,64.8,391,4,47,217,4.6,1,101,608,6.0,18,18,2,38,2,14,0,1,1
2022-10-29,,Illinois,L (9-26),20,22,90.9,179,2,48,188,3.9,1,70,367,5.2,9,8,1,18,8,72,1,0,1
2022-11-05,,Minnesota,L (13-20),12,20,60.0,175,0,45,125,2.8,2,65,300,4.6,7,11,0,18,2,18,0,0,0
2022-11-12,@,Michigan,L (3-34),10,20,50.0,148,2,49,264,5.4,2,69,412,6.0,6,20,1,27,1,15,0,0,0
2022-11-19,,Wisconsin,L (14-15),8,18,44.4,83,1,52,235,4.5,1,70,318,4.5,6,15,0,21,5,50,0,1,1
2022-11-25,@,Iowa,W (24-17),17,39,43.6,150,1,33,124,3.8,1,72,274,3.8,8,9,1,18,7,65,3,1,4
