year,school,games,points,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2001,Houston,11,39.3,16.2,27.0,59.9,224.2,2.0,44.4,211.5,4.8,2.8,71.4,435.6,6.1,9.5,10.7,2.0,22.2,6.5,59.8,0.7,0.6,1.4
2001,Tulane,12,41.3,18.1,31.0,58.3,241.3,1.7,47.6,249.1,5.2,3.7,78.6,490.3,6.2,11.8,12.1,0.9,24.8,7.8,56.2,1.3,0.9,2.3
2001,Duke,11,44.6,18.3,29.9,61.1,246.4,2.3,44.9,245.6,5.5,3.3,74.8,492.0,6.6,9.8,11.6,1.2,22.6,7.5,68.7,0.8,0.6,1.5
2001,Idaho,11,45.0,19.3,30.1,64.0,278.3,2.5,41.4,200.3,4.8,2.8,71.5,478.5,6.7,11.3,10.4,2.8,24.5,7.8,67.6,0.8,0.4,1.2
2002,Kansas State,13,11.8,14.7,32.2,45.7,179.5,0.8,34.3,69.5,2.0,0.5,66.5,249.0,3.7,7.5,4.5,1.6,13.5,7.3,55.6,1.0,1.5,2.5
2002,Ohio State,14,13.1,22.5,39.0,57.7,243.1,1.0,29.9,77.7,2.6,0.4,68.9,320.9,4.7,11.1,5.1,1.1,17.4,4.7,40.1,0.9,1.3,2.1
2002,North Texas,13,14.8,15.4,28.3,54.3,171.7,0.6,38.6,118.9,3.1,1.0,66.9,290.6,4.3,7.5,6.2,2.0,15.8,9.8,80.5,1.1,1.2,2.3
2002,Georgia,14,15.1,16.1,29.3,55.1,189.5,1.0,37.4,114.0,3.0,0.8,66.7,303.5,4.5,8.1,7.6,1.6,17.3,6.6,51.5,1.1,1.1,2.2
2002,Alabama,13,15.4,14.2,28.8,49.5,177.2,0.8,30.0,80.2,2.7,0.8,58.8,257.3,4.4,8.2,4.9,1.8,15.0,7.5,55.5,1.2,1.4,2.5
2002,Oklahoma,14,15.4,14.7,30.9,47.7,185.3,0.9,35.4,107.9,3.0,0.6,66.3,293.1,4.4,6.8,6.7,0.9,14.4,6.5,51.6,0.9,1.7,2.6
2002,Maryland,14,16.3,17.9,31.7,56.5,210.1,0.9,37.9,128.6,3.4,0.9,69.6,338.8,4.9,9.5,6.9,1.4,17.7,7.4,58.6,0.6,1.3,1.9
2002,Texas,13,16.3,14.8,30.8,48.0,165.2,1.3,36.5,142.5,3.9,0.8,67.2,307.7,4.6,7.8,7.5,2.1,17.5,7.1,56.7,1.0,1.7,2.7
2002,Notre Dame,13,16.7,17.2,34.8,49.3,204.8,0.9,33.8,95.2,2.8,0.8,68.5,300.0,4.4,9.7,5.8,1.2,16.7,7.2,58.2,0.9,1.6,2.5
2002,North Carolina State,14,17.0,15.5,31.2,49.7,175.5,0.9,37.5,125.3,3.3,0.9,68.7,300.8,4.4,7.8,8.4,1.9,18.0,7.4,64.8,1.1,1.1,2.2
2002,Penn State,13,17.5,22.2,34.9,63.4,215.3,1.2,36.8,114.8,3.1,0.8,71.8,330.1,4.6,10.4,8.0,0.9,19.3,5.1,43.7,0.8,1.5,2.4
2002,Tennessee,13,17.5,13.1,26.8,48.7,156.2,0.7,37.8,128.6,3.4,0.9,64.6,284.8,4.4,6.4,8.2,1.6,16.2,5.8,44.1,1.0,0.9,1.9
2002,Auburn,13,17.8,18.1,32.7,55.3,186.5,0.7,35.9,141.7,3.9,1.3,68.6,328.2,4.8,8.9,7.4,1.4,17.7,8.3,66.5,0.8,1.6,2.5
2002,Pitt,13,17.8,16.2,30.8,52.5,178.5,0.6,36.8,117.5,3.2,1.3,67.5,296.0,4.4,9.0,6.1,1.5,16.5,7.2,60.8,1.4,1.2,2.5
2002,LSU,13,18.3,12.5,27.8,45.2,152.7,1.0,35.7,134.1,3.8,1.2,63.5,286.8,4.5,6.9,6.8,1.6,15.4,6.0,52.8,0.6,1.3,1.9
2002,Southern Mississippi,13,18.3,13.6,29.2,46.7,168.8,0.5,43.7,167.4,3.8,1.0,72.8,336.2,4.6,7.7,8.6,1.1,17.4,8.3,67.7,0.8,1.2,2.1
2002,Boise State,13,18.5,21.1,40.7,51.8,231.4,1.5,32.2,109.4,3.4,0.7,72.8,340.8,4.7,10.5,5.8,2.5,18.8,7.2,59.4,0.9,1.5,2.4
2002,South Florida,11,18.5,19.1,36.4,52.5,221.7,1.5,38.2,87.2,2.3,0.7,74.5,308.9,4.1,10.4,6.3,2.2,18.8,7.3,60.4,1.3,2.0,3.3
2002,TCU,12,18.5,13.2,33.8,38.9,175.4,1.3,32.8,64.8,2.0,0.8,66.6,240.3,3.6,7.4,3.8,2.1,13.3,7.2,51.1,1.7,1.8,3.5
2002,USC,13,18.5,17.4,34.9,49.8,201.8,1.2,29.8,83.2,2.8,0.7,64.8,284.9,4.4,9.7,5.0,1.4,16.1,6.3,57.5,1.5,1.3,2.8
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,Virginia Tech,14,18.8,16.4,31.6,51.9,213.6,1.0,35.4,121.4,3.4,1.4,67.0,335.1,5.0,8.5,6.5,1.4,16.4,7.5,64.4,0.9,1.7,2.6
2002,Miami (FL),13,19.1,12.5,27.2,46.2,119.7,0.6,44.8,165.3,3.7,1.5,71.9,285.0,4.0,5.9,9.5,2.2,17.6,5.0,39.8,0.9,0.9,1.8
2002,Boston College,13,19.5,15.5,28.7,53.9,172.1,0.9,42.3,167.4,4.0,1.3,71.0,339.5,4.8,7.5,9.2,1.6,18.3,7.8,63.4,1.3,1.2,2.5
2002,Iowa,13,19.7,23.1,41.2,56.1,273.4,1.2,32.0,81.9,2.6,1.3,73.2,355.3,4.9,13.5,5.5,2.8,21.7,5.6,43.0,0.8,1.5,2.4
2002,Arkansas,14,19.8,19.1,34.5,55.3,234.5,1.2,36.0,113.6,3.2,0.8,70.5,348.1,4.9,9.6,7.4,2.1,19.1,7.0,56.0,1.2,1.4,2.6
2002,Michigan,13,20.4,18.2,33.8,53.6,224.5,1.3,35.8,123.2,3.4,1.2,69.6,347.7,5.0,9.8,7.4,1.2,18.4,5.8,45.8,0.8,1.2,2.0
2002,Georgia Tech,13,20.5,18.1,33.8,53.4,221.1,0.8,37.4,134.6,3.6,1.2,71.2,355.7,5.0,9.3,7.2,1.1,17.5,6.8,57.8,0.8,0.8,1.7
2002,Oregon State,13,20.5,17.1,35.1,48.7,199.3,0.8,36.8,94.2,2.6,1.0,71.9,293.5,4.1,8.7,5.5,3.8,18.0,7.7,63.3,1.0,1.5,2.5
2002,Utah,11,20.5,18.0,34.4,52.4,227.3,1.5,35.5,104.8,2.9,0.9,69.9,332.1,4.8,9.6,6.5,2.3,18.4,5.6,47.4,1.1,1.1,2.2
2002,Troy,12,21.0,14.3,27.3,52.1,171.6,1.1,38.0,105.3,2.8,0.8,65.3,276.8,4.2,7.8,6.3,1.3,15.3,6.6,56.8,1.3,0.8,2.1
2002,Florida,13,21.5,14.2,27.8,51.1,162.4,1.1,40.5,163.2,4.0,1.1,68.3,325.5,4.8,6.9,8.6,0.5,16.1,8.0,60.0,0.8,0.5,1.3
2002,Florida State,14,21.5,17.8,33.2,53.5,235.2,1.5,35.5,130.8,3.7,0.9,68.7,366.0,5.3,9.9,7.0,1.3,18.1,7.4,64.3,1.1,1.1,2.3
2002,Tulane,13,21.7,17.6,33.5,52.5,191.8,0.9,41.0,180.1,4.4,1.5,74.5,371.9,5.0,9.5,10.0,1.5,21.0,8.5,68.6,1.6,1.7,3.3
2002,South Carolina,12,21.8,17.5,29.6,59.2,186.9,1.4,40.1,164.5,4.1,0.9,69.7,351.4,5.0,8.9,8.3,1.8,19.1,6.7,58.4,1.0,0.8,1.8
2002,Purdue,13,22.2,15.5,32.2,48.2,201.0,1.2,34.8,116.2,3.3,0.9,67.0,317.2,4.7,9.0,5.8,1.0,15.8,5.2,40.2,0.7,1.2,1.8
2002,Connecticut,12,22.5,13.5,26.8,50.3,160.4,1.2,38.3,155.7,4.1,1.5,65.1,316.1,4.9,6.8,7.9,1.6,16.3,5.9,53.8,1.0,1.7,2.7
2002,Washington State,13,22.8,23.5,41.2,57.0,255.2,1.5,34.8,87.2,2.5,0.8,76.0,342.5,4.5,11.3,6.6,2.8,20.7,7.2,65.0,0.6,1.3,1.9
2002,Wisconsin,14,23.0,16.9,30.9,54.9,224.2,1.6,36.9,148.7,4.0,1.0,67.7,372.9,5.5,9.3,7.7,1.0,18.0,7.6,65.0,0.9,1.6,2.5
2002,Colorado,14,23.2,18.1,32.4,56.1,195.6,1.1,39.9,170.1,4.3,1.8,72.2,365.7,5.1,9.4,8.9,2.0,20.3,5.0,39.1,1.1,1.1,2.1
2002,West Virginia,13,23.2,17.7,32.0,55.3,213.6,1.3,34.8,121.8,3.5,1.5,66.8,335.5,5.0,9.5,6.2,1.7,17.3,6.6,56.7,1.2,1.5,2.6
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,Air Force,13,23.3,16.2,28.5,56.8,198.8,0.8,39.2,155.5,4.0,1.9,67.6,354.3,5.2,9.4,9.0,0.7,19.1,4.9,43.9,1.1,0.9,2.0
2002,Texas A&M,12,23.3,19.1,33.4,57.1,207.5,1.4,39.0,130.9,3.4,1.2,72.4,338.4,4.7,9.4,7.6,1.2,18.2,6.1,55.0,1.2,1.3,2.5
2002,Cincinnati,14,23.5,15.7,30.5,51.5,179.9,0.9,38.4,138.1,3.6,1.6,68.9,318.1,4.6,8.9,7.7,1.1,17.7,6.8,52.0,1.2,1.2,2.4
2002,Colorado State,14,23.7,18.5,31.7,58.3,205.8,1.1,38.8,167.6,4.3,1.8,70.5,373.4,5.3,9.9,9.0,1.1,20.0,4.7,37.2,1.1,1.0,2.1
2002,Nebraska,14,23.9,16.5,32.8,50.3,215.3,0.9,39.2,146.6,3.7,1.8,72.0,361.9,5.0,9.4,8.6,1.4,19.4,6.4,48.3,0.6,0.9,1.5
2002,Marshall,13,24.2,13.5,28.2,47.8,161.5,0.8,40.6,172.5,4.2,2.2,68.8,334.0,4.9,7.3,9.2,2.0,18.5,5.7,44.9,0.5,1.2,1.7
2002,Louisville,13,24.5,15.8,32.8,48.0,206.9,1.6,39.5,113.0,2.9,1.2,72.4,319.9,4.4,9.6,5.8,2.8,18.2,8.4,69.8,0.5,0.7,1.2
2002,Minnesota,13,24.5,15.6,28.2,55.3,178.6,0.9,41.1,176.8,4.3,2.2,69.3,355.4,5.1,8.7,9.5,1.0,19.2,6.1,54.5,1.1,0.5,1.6
2002,Northern Illinois,12,24.8,20.3,35.7,56.8,254.9,1.4,37.3,131.8,3.5,1.4,72.9,386.8,5.3,11.0,6.6,1.6,19.2,6.3,58.2,0.6,1.8,2.3
2002,Virginia,14,24.9,18.7,30.9,60.5,215.7,1.0,45.7,208.9,4.6,1.8,76.6,424.6,5.5,10.1,11.3,1.0,22.4,6.6,59.7,1.6,1.1,2.6
2002,Kentucky,12,25.1,14.5,30.8,47.2,226.9,1.9,41.3,174.3,4.2,1.1,72.0,401.3,5.6,9.2,9.3,2.3,20.8,6.9,65.4,1.0,0.8,1.8
2002,UCLA,13,25.1,16.7,33.2,50.2,228.2,1.5,36.6,129.5,3.5,1.2,69.8,357.8,5.1,9.1,7.5,1.8,18.3,5.9,50.9,0.6,1.3,1.9
2002,Wake Forest,13,25.2,18.6,31.8,58.6,232.0,1.7,38.3,158.2,4.1,1.3,70.1,390.2,5.6,10.6,9.0,1.0,20.6,5.2,44.5,1.6,1.0,2.6
2002,Bowling Green State,12,25.3,17.8,33.2,53.8,211.4,1.3,39.1,153.7,3.9,1.9,72.3,365.1,5.1,9.6,8.2,2.2,19.9,6.2,53.4,1.3,1.0,2.3
2002,Ole Miss,13,25.5,13.9,26.8,51.9,187.3,1.3,39.8,160.0,4.0,1.4,66.7,347.3,5.2,8.3,8.5,1.2,17.9,7.6,64.6,0.8,1.4,2.2
2002,Illinois,12,25.6,18.9,33.7,56.2,230.3,1.1,43.8,190.2,4.3,1.9,77.5,420.5,5.4,10.8,9.7,1.5,21.9,5.8,46.2,0.9,0.7,1.6
2002,New Mexico,14,25.6,17.4,32.3,54.0,217.9,1.8,36.6,114.9,3.1,1.1,68.9,332.8,4.8,8.9,6.4,1.9,17.2,5.1,45.3,0.9,1.1,2.0
2002,Arizona,12,25.8,17.8,30.7,58.2,224.3,1.3,42.3,161.8,3.8,1.5,73.0,386.2,5.3,11.0,7.7,1.6,20.3,8.8,73.6,0.9,0.6,1.5
2002,UCF,12,26.3,18.0,31.7,56.8,204.1,1.6,41.6,149.7,3.6,1.3,73.3,353.8,4.8,8.7,9.9,1.5,20.1,6.1,47.4,1.2,1.1,2.3
2002,Washington,13,26.3,19.2,34.3,55.8,259.5,1.8,34.4,97.7,2.8,1.2,68.7,357.2,5.2,10.8,5.8,1.7,18.2,8.7,75.7,0.9,1.2,2.2
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2002,California,12,26.5,21.1,36.3,58.2,278.8,1.7,38.0,114.0,3.0,1.3,74.3,392.8,5.3,11.8,6.8,2.8,21.4,8.1,70.8,1.8,1.3,3.0
2002,Clemson,13,26.8,17.9,29.9,59.9,197.2,1.5,40.8,158.2,3.9,1.3,70.7,355.4,5.0,8.4,8.1,2.2,18.7,6.8,59.8,0.7,1.6,2.3
2002,Rice,11,26.9,20.2,33.0,61.2,242.1,2.1,37.9,143.0,3.8,1.3,70.9,385.1,5.4,11.5,8.4,1.3,21.1,6.4,51.8,1.2,0.7,1.9
2002,Toledo,14,27.0,17.7,30.4,58.2,213.1,1.3,35.9,150.6,4.2,1.9,66.3,363.7,5.5,9.9,8.4,1.2,19.6,5.6,43.1,0.6,1.4,2.0
2002,Fresno State,14,27.1,18.1,32.9,55.2,245.1,1.5,40.6,159.6,3.9,1.6,73.4,404.7,5.5,10.6,8.9,2.1,21.6,7.0,61.6,0.9,1.4,2.3
2002,Miami (OH),12,27.1,20.9,35.3,59.2,273.0,1.8,32.8,139.7,4.3,1.7,68.1,412.7,6.1,11.8,7.4,2.1,21.3,6.8,63.8,1.2,1.1,2.3
2002,Memphis,12,27.3,16.8,28.0,60.1,165.8,1.2,44.8,197.1,4.4,1.8,72.8,362.8,5.0,8.1,11.7,0.9,20.7,8.0,70.3,0.8,1.0,1.8
2002,New Mexico State,12,27.3,17.5,28.3,61.9,201.0,1.3,35.6,160.6,4.5,2.2,63.8,361.6,5.7,9.2,9.0,0.9,19.1,6.8,53.4,0.8,0.6,1.4
2002,Oklahoma State,13,27.4,20.2,36.9,54.8,251.6,1.5,41.5,147.1,3.5,1.9,78.4,398.7,5.1,10.8,8.3,2.5,21.7,7.9,70.2,0.6,0.9,1.5
