date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers,outcome,points_for,points_against
2002-10-26,away,Texas A&M,W (38-31),20,37,54.1,269,2,24,53,2.2,0,61,322,5.3,9,5,1,15,6,38,0,2,2,W,38,31
2002-11-02,home,Texas,L (24-27),29,47,61.7,419,2,36,79,2.2,1,83,498,6.0,20,6,1,27,12,91,0,1,1,L,24,27
2002-11-09,home,Kansas,W (45-7),10,31,32.3,153,1,36,71,2.0,0,67,224,3.3,6,5,1,12,6,54,1,2,3,W,45,7
2002-11-16,away,Kansas State,L (13-49),4,8,50.0,92,0,57,415,7.3,6,65,507,7.8,3,19,2,24,13,104,3,0,3,L,13,49
2002-11-29,home,Colorado,L (13-28),12,23,52.2,122,1,53,253,4.8,3,76,375,4.9,5,15,1,21,6,58,1,0,1,L,13,28
2002-12-27,N,Mississippi*,L (23-27),25,44,56.8,313,1,32,52,1.6,2,76,365,4.8,14,5,1,20,6,41,0,0,0,L,23,27
2003-08-30,home,Oklahoma State,W (17-7),13,28,46.4,97,1,30,86,2.9,0,58,183,3.2,6,5,0,11,8,63,2,3,5,W,17,7
2003-09-06,home,Utah State,W (31-7),17,35,48.6,178,1,23,60,2.6,0,58,238,4.1,10,4,0,14,6,33,2,1,3,W,31,7
2003-09-13,home,Penn State,W (18-10),16,33,48.5,159,0,21,44,2.1,1,54,203,3.8,7,4,2,13,1,5,1,1,2,W,18,10
2003-09-25,away,Southern Mississippi,W (38-14),18,42,42.9,211,1,36,108,3.0,1,78,319,4.1,11,7,1,19,9,66,3,2,5,W,38,14
2003-10-04,home,Troy,W (30-0),11,23,47.8,84,0,37,66,1.8,0,60,150,2.5,5,5,0,10,13,115,2,2,4,W,30,0
2003-10-11,away,Missouri,L (24-41),15,29,51.7,241,2,44,211,4.8,4,73,452,6.2,11,9,0,20,3,23,0,2,2,L,24,41
2003-10-18,home,Texas A&M,W (48-12),9,27,33.3,109,0,37,135,3.6,0,64,244,3.8,6,6,3,15,3,25,3,5,8,W,48,12
2003-10-25,home,Iowa State,W (28-0),20,41,48.8,160,0,30,70,2.3,0,71,230,3.2,9,4,1,14,5,25,1,2,3,W,28,0
2003-11-01,away,Texas,L (7-31),13,27,48.1,131,0,51,353,6.9,4,78,484,6.2,6,17,2,25,7,80,0,3,3,L,7,31
2003-11-08,away,Kansas,W (24-3),24,34,70.6,204,0,29,88,3.0,0,63,292,4.6,13,4,2,19,8,78,1,3,4,W,24,3
2003-11-15,home,Kansas State,L (9-38),15,28,53.6,313,2,53,248,4.7,3,81,561,6.9,12,14,0,26,7,43,0,3,3,L,9,38
2003-11-28,away,Colorado,W (31-22),26,44,59.1,269,3,31,64,2.1,0,75,333,4.4,14,4,1,19,7,60,0,2,2,W,31,22
2003-12-29,N,Michigan State*,W (17-3),21,39,53.8,156,0,23,18,0.8,0,62,174,2.8,6,4,3,13,5,53,0,3,3,W,17,3
2004-09-04,home,Western Illinois,W (56-17),20,42,47.6,223,1,35,-3,-0.1,0,77,220,2.9,8,3,1,12,7,41,1,4,5,W,56,17
2004-09-11,home,Southern Mississippi,L (17-21),12,28,42.9,142,1,33,97,2.9,0,61,239,3.9,5,6,0,11,8,59,0,1,1,L,17,21
2004-09-18,away,Pittsburgh,W (24-17),22,45,48.9,228,1,25,30,1.2,0,70,258,3.7,11,3,1,15,11,60,1,3,4,W,24,17
2004-10-02,home,Kansas,W (14-8),24,49,49.0,200,0,33,105,3.2,0,82,305,3.7,8,7,1,16,13,99,0,1,1,W,14,8
2004-10-09,away,Texas Tech,L (10-70),47,61,77.0,451,6,15,72,4.8,4,76,523,6.9,20,4,1,25,10,121,0,1,1,L,10,70
2004-10-16,home,Baylor,W (59-27),25,40,62.5,300,2,38,100,2.6,1,78,400,5.1,15,5,2,22,8,50,1,1,2,W,59,27
2004-10-23,away,Kansas State,L (21-45),14,23,60.9,124,0,61,294,4.8,6,84,418,5.0,6,16,2,24,9,41,2,0,2,L,21,45
2004-10-30,home,Missouri,W (24-3),24,56,42.9,277,0,35,51,1.5,0,91,328,3.6,13,4,2,19,6,35,1,1,2,W,24,3
2004-11-06,away,Iowa State,L (27-34),18,39,46.2,364,3,36,102,2.8,1,75,466,6.2,14,6,2,22,7,70,0,1,1,L,27,34
2004-11-13,away,Oklahoma,L (3-30),30,36,83.3,413,3,31,98,3.2,1,67,511,7.6,19,2,3,24,4,45,0,0,0,L,3,30
2004-11-26,home,Colorado,L (20-26),18,29,62.1,222,1,48,198,4.1,1,77,420,5.5,8,11,0,19,8,57,1,1,2,L,20,26
2005-09-03,home,Maine,W (25-7),16,36,44.4,151,1,37,-6,-0.2,0,73,145,2.0,6,4,0,10,7,55,1,1,2,W,25,7
2005-09-10,home,Wake Forest,W (31-3),12,28,42.9,117,0,52,130,2.5,0,80,247,3.1,6,10,3,19,5,48,1,3,4,W,31,3
2005-09-17,home,Pittsburgh,W (7-6),11,28,39.3,190,0,36,114,3.2,0,64,304,4.8,6,7,1,14,4,35,0,0,0,W,7,6
2005-10-01,home,Iowa State,W (27-20),23,41,56.1,317,1,38,57,1.5,1,79,374,4.7,12,5,4,21,4,34,0,1,1,W,27,20
2005-10-08,home,Texas Tech,L (31-34),34,45,75.6,368,4,23,44,1.9,0,68,412,6.1,17,5,1,23,9,89,1,1,2,L,31,34
2005-10-15,away,Baylor,W (23-14),17,31,54.8,202,1,23,51,2.2,1,54,253,4.7,10,4,2,16,11,82,1,2,3,W,23,14
2005-10-22,away,Missouri,L (24-41),22,38,57.9,246,1,49,277,5.7,4,87,523,6.0,12,10,3,25,5,43,1,1,2,L,24,41
2005-10-29,home,Oklahoma,L (24-31),14,28,50.0,157,0,45,180,4.0,3,73,337,4.6,8,10,1,19,4,26,0,0,0,L,24,31
2005-11-05,away,Kansas,L (15-40),16,27,59.3,215,2,44,213,4.8,1,71,428,6.0,10,6,1,17,6,45,1,1,2,L,15,40
2005-11-12,home,Kansas State,W (27-25),6,30,20.0,103,0,50,248,5.0,3,80,351,4.4,4,11,2,17,14,108,1,1,2,W,27,25
2005-11-25,away,Colorado,W (30-3),20,40,50.0,159,0,20,53,2.7,0,60,212,3.5,9,3,1,13,10,105,0,1,1,W,30,3
2005-12-28,N,Michigan*,W (32-28),21,43,48.8,270,3,42,130,3.1,1,85,400,4.7,11,10,2,23,6,49,2,1,3,W,32,28
2006-09-02,home,Louisiana Tech,W (49-10),13,32,40.6,238,1,21,67,3.2,0,53,305,5.8,10,3,0,13,5,25,2,1,3,W,49,10
2006-09-09,home,Nicholls State,W (56-7),0,3,0.0,0,0,47,187,4.0,1,50,187,3.7,0,7,0,7,6,46,3,0,3,W,56,7
2006-09-16,away,Southern California,L (10-28),25,37,67.6,257,3,31,142,4.6,1,68,399,5.9,15,8,3,26,7,46,0,0,0,L,10,28
2006-09-23,home,Troy,W (56-0),15,24,62.5,92,0,27,48,1.8,0,51,140,2.7,4,6,0,10,10,80,2,1,3,W,56,0
2006-09-30,home,Kansas,W (39-32),27,54,50.0,405,2,40,169,4.2,2,94,574,6.1,17,8,1,26,5,25,1,3,4,W,39,32
2006-10-07,away,Iowa State,W (28-14),18,39,46.2,262,1,24,53,2.2,1,63,315,5.0,13,2,3,18,6,45,0,1,1,W,28,14
2006-10-14,away,Kansas State,W (21-3),23,47,48.9,272,0,18,22,1.2,0,65,294,4.5,14,3,0,17,5,50,0,2,2,W,21,3
2006-10-21,home,Texas,L (20-22),25,40,62.5,220,2,34,128,3.8,0,74,348,4.7,12,7,2,21,5,42,1,0,1,L,20,22
2006-10-28,away,Oklahoma State,L (29-41),13,21,61.9,229,2,41,267,6.5,3,62,496,8.0,11,14,0,25,5,42,1,1,2,L,29,41
2006-11-04,home,Missouri,W (34-20),20,38,52.6,244,2,32,119,3.7,0,70,363,5.2,13,8,0,21,2,15,1,2,3,W,34,20
2006-11-11,away,Texas A&M,W (28-27),19,32,59.4,288,0,27,155,5.7,3,59,443,7.5,9,4,0,13,4,38,0,0,0,W,28,27
2006-11-24,home,Colorado,W (37-14),11,23,47.8,131,1,31,166,5.4,1,54,297,5.5,9,5,0,14,8,74,0,0,0,W,37,14
2006-12-02,N,Oklahoma,L (7-21),19,35,54.3,265,2,28,42,1.5,1,63,307,4.9,11,2,0,13,3,25,0,1,1,L,7,21
2007-01-01,N,Auburn*,L (14-17),10,21,47.6,111,1,35,67,1.9,1,56,178,3.2,6,5,1,12,6,45,2,0,2,L,14,17
2007-09-01,home,Nevada,W (52-10),9,27,33.3,108,0,24,77,3.2,0,51,185,3.6,5,3,1,9,12,86,0,1,1,W,52,10
2007-09-08,away,Wake Forest,W (20-17),12,24,50.0,140,0,53,236,4.5,2,77,376,4.9,5,11,2,18,6,51,0,2,2,W,20,17
2007-09-15,home,Southern California,L (31-49),19,30,63.3,144,2,38,313,8.2,5,68,457,6.7,8,14,0,22,10,102,1,0,1,L,31,49
2007-09-22,home,Ball State,W (41-40),26,43,60.5,422,3,36,188,5.2,2,79,610,7.7,19,7,1,27,4,34,1,1,2,W,41,40
2007-09-29,home,Iowa State,W (35-17),26,51,51.0,281,0,51,134,2.6,2,102,415,4.1,16,9,3,28,1,5,1,3,4,W,35,17
2007-10-06,away,Missouri,L (6-41),34,49,69.4,411,3,36,195,5.4,2,85,606,7.1,20,8,4,32,9,79,0,0,0,L,6,41
2007-10-13,home,Oklahoma State,L (14-45),12,20,60.0,234,1,51,317,6.2,5,71,551,7.8,10,16,0,26,7,62,0,0,0,L,14,45
2007-10-20,home,Texas A&M,L (14-36),13,22,59.1,100,1,66,359,5.4,4,88,459,5.2,6,21,1,28,5,38,0,0,0,L,14,36
2007-10-27,away,Texas,L (25-28),12,29,41.4,181,0,48,364,7.6,3,77,545,7.1,10,13,2,25,3,25,0,1,1,L,25,28
2007-11-03,away,Kansas,L (39-76),30,41,73.2,354,6,49,218,4.4,5,90,572,6.4,17,15,2,34,2,10,0,0,0,L,39,76
2007-11-10,home,Kansas State,W (73-31),26,44,59.1,320,2,28,108,3.9,2,72,428,5.9,14,8,2,24,7,40,0,0,0,W,73,31
2007-11-23,away,Colorado,L (51-65),17,29,58.6,241,2,52,277,5.3,6,81,518,6.4,12,13,1,26,7,65,0,0,0,L,51,65
2008-08-30,home,Western Michigan,W (47-24),30,49,61.2,342,2,25,8,0.3,1,74,350,4.7,16,0,3,19,5,45,1,1,2,W,47,24
2008-09-06,home,San Jose State,W (35-12),21,35,60.0,242,0,32,111,3.5,1,67,353,5.3,8,9,2,19,7,47,0,2,2,W,35,12
2008-09-13,home,New Mexico State,W (38-7),19,39,48.7,225,0,32,114,3.6,1,71,339,4.8,9,7,3,19,7,50,0,2,2,W,38,7
2008-09-27,home,Virginia Tech,L (30-35),9,15,60.0,171,0,55,206,3.7,3,70,377,5.4,7,12,2,21,4,30,0,0,0,L,30,35
2008-10-04,home,Missouri,L (17-52),19,24,79.2,261,3,34,201,5.9,3,58,462,8.0,13,8,3,24,1,15,0,0,0,L,17,52
2008-10-11,away,Texas Tech,L (31-37),20,25,80.0,284,2,23,137,6.0,3,48,421,8.8,9,6,1,16,2,20,0,0,0,L,31,37
2008-10-18,away,Iowa State,W (35-7),16,29,55.2,113,0,25,105,4.2,1,54,218,4.0,5,5,1,11,6,42,2,0,2,W,35,7
2008-10-25,home,Baylor,W (32-20),9,20,45.0,134,0,33,216,6.5,3,53,350,6.6,5,8,3,16,6,39,0,0,0,W,32,20
2008-11-01,away,Oklahoma,L (28-62),21,30,70.0,315,5,40,193,4.8,3,70,508,7.3,11,8,2,21,7,69,0,1,1,L,28,62
2008-11-08,home,Kansas,W (45-35),15,30,50.0,304,3,39,118,3.0,2,69,422,6.1,13,8,1,22,5,31,0,1,1,W,45,35
2008-11-15,away,Kansas State,W (56-28),12,26,46.2,188,1,32,59,1.8,1,58,247,4.3,5,6,2,13,5,25,1,0,1,W,56,28
2008-11-28,home,Colorado,W (40-31),14,26,53.8,249,1,22,42,1.9,2,48,291,6.1,9,4,0,13,2,14,1,3,4,W,40,31
2009-01-01,N,Clemson*,W (26-21),17,37,45.9,206,2,26,4,0.2,0,63,210,3.3,7,2,5,14,7,50,0,2,2,W,26,21
2009-09-05,home,Florida Atlantic,W (49-3),20,41,48.8,236,0,35,132,3.8,0,76,368,4.8,11,9,3,23,11,67,1,2,3,W,49,3
2009-09-12,home,Arkansas State,W (38-9),11,20,55.0,131,0,38,143,3.8,1,58,274,4.7,3,11,1,15,3,20,1,0,1,W,38,9
2009-09-19,away,Virginia Tech,L (15-16),12,27,44.4,192,1,37,86,2.3,1,64,278,4.3,9,2,0,11,7,53,0,0,0,L,15,16
2009-09-26,home,Louisiana,W (55-0),15,27,55.6,120,0,37,102,2.8,0,64,222,3.5,5,8,1,14,3,14,2,1,3,W,55,0
2009-10-08,away,Missouri,W (27-12),17,43,39.5,134,0,35,91,2.6,1,78,225,2.9,7,4,4,15,8,100,1,2,3,W,27,12
2009-10-17,home,Texas Tech,L (10-31),23,32,71.9,234,1,25,25,1.0,2,57,259,4.5,10,2,3,15,4,40,0,0,0,L,10,31
2009-10-24,home,Iowa State,L (7-9),9,19,47.4,102,1,48,137,2.9,0,67,239,3.6,4,7,0,11,8,72,0,0,0,L,7,9
2009-10-31,away,Baylor,W (20-10),19,38,50.0,222,0,32,54,1.7,0,70,276,3.9,11,3,4,18,4,25,1,2,3,W,20,10
2009-11-07,home,Oklahoma,W (10-3),26,58,44.8,245,0,29,80,2.8,0,87,325,3.7,13,7,3,23,9,64,0,5,5,W,10,3
2009-11-14,away,Kansas,W (31-17),19,41,46.3,236,1,29,99,3.4,1,70,335,4.8,11,8,2,21,4,50,1,0,1,W,31,17
2009-11-21,home,Kansas State,W (17-3),12,33,36.4,153,0,34,140,4.1,0,67,293,4.4,7,9,3,19,7,69,1,1,2,W,17,3
2009-11-27,away,Colorado,W (28-20),21,44,47.7,269,3,28,134,4.8,0,72,403,5.6,9,8,3,20,7,34,0,3,3,W,28,20
2009-12-05,N,Texas,L (12-13),20,36,55.6,184,0,38,18,0.5,1,74,202,2.7,10,3,4,17,7,45,0,3,3,L,12,13
2009-12-30,N,Arizona*,W (33-0),10,31,32.3,46,0,20,63,3.2,0,51,109,2.1,2,3,1,6,2,25,0,1,1,W,33,0
2010-09-04,home,Western Kentucky,W (49-10),12,22,54.5,120,0,40,179,4.5,1,62,299,4.8,6,5,3,14,7,51,1,1,2,W,49,10
2010-09-11,home,Idaho,W (38-17),21,39,53.8,219,2,38,60,1.6,0,77,279,3.6,11,9,4,24,3,15,1,5,6,W,38,17
2010-09-18,away,Washington,W (56-21),4,20,20.0,71,1,39,175,4.5,2,59,246,4.2,2,10,1,13,2,15,0,2,2,W,56,21
2010-09-25,home,South Dakota State,W (17-3),12,28,42.9,95,0,37,141,3.8,0,65,236,3.6,4,6,0,10,7,73,0,2,2,W,17,3
2010-10-07,away,Kansas State,W (48-13),19,27,70.4,135,1,44,180,4.1,0,71,315,4.4,10,8,2,20,4,30,0,1,1,W,48,13
2010-10-16,home,Texas,L (13-20),4,16,25.0,62,0,46,209,4.5,2,62,271,4.4,3,7,4,14,4,53,0,0,0,L,13,20
2010-10-23,away,Oklahoma State,W (51-41),18,35,51.4,283,2,36,212,5.9,3,71,495,7.0,12,9,1,22,8,84,0,1,1,W,51,41
2010-10-30,home,Missouri,W (31-17),18,42,42.9,199,1,34,142,4.2,1,76,341,4.5,10,8,3,21,7,40,0,1,1,W,31,17
2010-11-06,away,Iowa State,W (31-30),21,32,65.6,203,3,48,157,3.3,1,80,360,4.5,12,10,2,24,3,40,1,2,3,W,31,30
2010-11-13,home,Kansas,W (20-3),3,13,23.1,15,0,34,72,2.1,0,47,87,1.9,1,3,1,5,1,9,0,1,1,W,20,3
2010-11-20,away,Texas A&M,L (6-9),19,29,65.5,172,0,41,138,3.4,0,70,310,4.4,7,9,3,19,2,10,0,0,0,L,6,9
2010-11-26,home,Colorado,W (45-17),10,27,37.0,163,2,23,99,4.3,0,50,262,5.2,5,4,3,12,6,55,1,2,3,W,45,17
2010-12-04,N,Oklahoma,L (20-23),23,41,56.1,342,1,38,112,2.9,1,79,454,5.7,15,4,0,19,6,47,0,1,1,L,20,23
2010-12-30,N,Washington*,L (7-19),6,19,31.6,72,0,52,268,5.2,2,71,340,4.8,4,14,3,21,3,30,0,0,0,L,7,19
2011-09-03,home,Chattanooga,W (40-7),22,36,61.1,170,1,31,60,1.9,0,67,230,3.4,7,5,1,13,8,76,0,1,1,W,40,7
2011-09-10,home,Fresno State,W (42-29),20,41,48.8,254,1,40,190,4.8,1,81,444,5.5,11,13,0,24,5,50,1,0,1,W,42,29
2011-09-17,home,Washington,W (51-38),21,37,56.8,274,4,31,146,4.7,1,68,420,6.2,10,8,2,20,9,90,1,2,3,W,51,38
2011-09-24,away,Wyoming,W (38-14),18,34,52.9,168,2,31,137,4.4,0,65,305,4.7,11,5,2,18,7,59,0,1,1,W,38,14
2011-10-01,away,Wisconsin,L (17-48),14,20,70.0,255,2,50,231,4.6,5,70,486,6.9,11,13,3,27,4,39,1,0,1,L,17,48
2011-10-08,home,Ohio State,W (34-27),6,18,33.3,108,1,41,243,5.9,2,59,351,5.9,5,9,2,16,9,75,1,1,2,W,34,27
2011-10-22,away,Minnesota,W (41-14),9,18,50.0,122,0,39,132,3.4,2,57,254,4.5,4,7,0,11,5,55,1,0,1,W,41,14
2011-10-29,home,Michigan State,W (24-3),11,27,40.7,86,0,30,101,3.4,0,57,187,3.3,3,7,2,12,9,90,0,1,1,W,24,3
2011-11-05,home,Northwestern,L (25-28),16,24,66.7,261,1,54,207,3.8,3,78,468,6.0,9,15,1,25,2,20,1,2,3,L,25,28
2011-11-12,away,Penn State,W (17-14),17,35,48.6,209,0,43,166,3.9,2,78,375,4.8,9,10,2,21,3,32,1,0,1,W,17,14
2011-11-19,away,Michigan,L (17-45),11,19,57.9,180,2,61,238,3.9,4,80,418,5.2,6,14,4,24,5,45,0,1,1,L,17,45
2011-11-25,home,Iowa,W (20-7),16,35,45.7,182,0,24,88,3.7,1,59,270,4.6,7,7,4,18,5,50,1,1,2,W,20,7
2012-01-02,N,South Carolina*,L (13-30),11,17,64.7,230,2,40,121,3.0,2,57,351,6.2,8,7,1,16,6,66,0,0,0,L,13,30
2012-09-01,home,Southern Mississippi,W (49-20),7,19,36.8,75,1,47,185,3.9,0,66,260,3.9,4,15,1,20,4,35,1,0,1,W,49,20
2012-09-08,away,UCLA,L (30-36),22,38,57.9,309,4,56,344,6.1,0,94,653,6.9,13,12,1,26,11,126,1,0,1,L,30,36
2012-09-15,home,Arkansas State,W (42-13),16,32,50.0,138,0,37,148,4.0,0,69,286,4.1,7,9,1,17,6,39,1,1,2,W,42,13
2012-09-22,home,Idaho State,W (73-7),21,43,48.8,179,1,29,31,1.1,0,72,210,2.9,8,2,4,14,5,40,1,2,3,W,73,7
2012-09-29,home,Wisconsin,W (30-27),15,28,53.6,239,1,41,56,1.4,3,69,295,4.3,9,5,3,17,2,15,1,0,1,W,30,27
2012-10-06,away,Ohio State,L (38-63),7,14,50.0,127,1,48,371,7.7,6,62,498,8.0,5,13,1,19,9,76,1,0,1,L,38,63
2012-10-20,away,Northwestern,W (29-28),16,37,43.2,121,2,38,180,4.7,2,75,301,4.0,6,6,2,14,5,45,0,0,0,W,29,28
2012-10-27,home,Michigan,W (23-9),9,27,33.3,93,0,37,95,2.6,0,64,188,2.9,7,5,6,18,3,44,0,3,3,W,23,9
2012-11-03,away,Michigan State,W (28-24),9,27,33.3,123,1,43,238,5.5,2,70,361,5.2,7,8,4,19,9,100,2,0,2,W,28,24
2012-11-10,home,Penn State,W (32-23),18,37,48.6,240,1,34,151,4.4,1,71,391,5.5,12,4,2,18,8,60,2,1,3,W,32,23
2012-11-17,home,Minnesota,W (38-14),10,28,35.7,90,0,29,87,3.0,2,57,177,3.1,5,3,3,11,4,37,0,2,2,W,38,14
2012-11-23,away,Iowa,W (13-7),11,24,45.8,92,0,39,108,2.8,1,63,200,3.2,6,7,0,13,1,5,0,2,2,W,13,7
2012-12-01,N,Wisconsin,L (31-70),8,10,80.0,101,1,50,539,10.8,8,60,640,10.7,4,19,1,24,4,51,0,0,0,L,31,70
2013-01-01,N,Georgia*,L (31-45),18,33,54.5,427,5,38,162,4.3,1,71,589,8.3,14,8,1,23,7,76,0,2,2,L,31,45
2013-08-31,home,Wyoming,W (37-34),29,44,65.9,383,4,30,219,7.3,1,74,602,8.1,20,9,6,35,8,74,0,2,2,W,37,34
2013-09-07,home,Southern Mississippi,W (56-13),21,37,56.8,222,1,27,62,2.3,0,64,284,4.4,10,4,2,16,7,55,0,4,4,W,56,13
2013-09-14,home,UCLA,L (21-41),16,25,64.0,294,3,53,210,4.0,2,78,504,6.5,13,11,3,27,3,21,0,1,1,L,21,41
2013-09-21,home,South Dakota State,W (59-20),19,29,65.5,238,0,38,227,6.0,2,67,465,6.9,12,10,3,25,4,45,1,2,3,W,59,20
2013-10-05,home,Illinois,W (39-19),16,31,51.6,177,0,48,195,4.1,2,79,372,4.7,11,11,2,24,3,38,1,1,2,W,39,19
2013-10-12,away,Purdue,W (44-7),14,36,38.9,184,1,25,32,1.3,0,61,216,3.5,5,4,2,11,7,53,1,1,2,W,44,7
2013-10-26,away,Minnesota,L (23-34),8,17,47.1,159,1,54,271,5.0,3,71,430,6.1,7,16,0,23,3,35,0,0,0,L,23,34
2013-11-02,home,Northwestern,W (27-24),8,21,38.1,81,0,47,245,5.2,3,68,326,4.8,4,12,0,16,3,15,0,1,1,W,27,24
2013-11-09,away,Michigan,W (17-13),18,27,66.7,196,1,36,-21,-0.6,0,63,175,2.8,12,0,1,13,2,18,0,0,0,W,17,13
2013-11-16,home,Michigan State,L (28-41),15,32,46.9,193,1,48,168,3.5,4,80,361,4.5,8,9,1,18,6,60,0,0,0,L,28,41
2013-11-23,away,Penn State,W (23-20),16,33,48.5,217,2,44,170,3.9,1,77,387,5.0,9,9,0,18,3,25,0,1,1,W,23,20
2013-11-29,home,Iowa,L (17-38),9,17,52.9,126,2,45,156,3.5,3,62,282,4.5,4,7,3,14,2,20,0,0,0,L,17,38
2014-01-01,N,Georgia*,W (24-19),21,39,53.8,320,1,43,96,2.2,0,82,416,5.1,15,6,1,22,7,42,1,1,2,W,24,19
2014-08-30,home,Florida Atlantic,W (55-7),11,30,36.7,95,1,30,105,3.5,0,60,200,3.3,5,7,1,13,3,22,0,0,0,W,55,7
2014-09-06,home,McNeese State,W (31-24),12,26,46.2,160,0,45,178,4.0,2,71,338,4.8,7,7,1,15,6,44,0,1,1,W,31,24
