date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers,outcome,points_for,points_against
2019-10-26,home,Indiana,L (31-38),20,23,87.0,294,1,50,220,4.4,3,73,514,7.0,11,11,4,26,6,44,2,0,2,L,31,38
2019-11-02,away,Purdue,L (27-31),22,39,56.4,247,0,35,128,3.7,3,74,375,5.1,11,6,4,21,3,30,0,1,1,L,27,31
2019-11-16,home,Wisconsin,L (21-37),13,23,56.5,220,1,36,277,7.7,2,59,497,8.4,9,13,1,23,3,31,0,1,1,L,21,37
2019-11-23,away,Maryland,W (54-7),19,30,63.3,226,2,57,305,5.4,4,87,531,6.1,18,12,1,31,1,10,0,1,1,W,54,7
2019-11-29,home,Iowa,L (24-27),12,23,52.2,100,1,56,184,3.3,1,79,284,3.6,5,11,2,18,3,25,1,1,2,L,24,27
2020-10-24,away,Ohio State,L (17-52),16,20,80.0,160,0,36,210,5.8,2,56,370,6.6,6,11,0,17,8,90,2,0,2,L,17,52
2020-11-07,away,Northwestern,L (13-21),24,45,53.3,218,0,43,224,5.2,1,88,442,5.0,10,14,4,28,9,55,0,2,2,L,13,21
2020-11-14,home,Penn State,W (30-23),13,21,61.9,152,1,39,146,3.7,1,60,298,5.0,6,9,2,17,5,39,0,1,1,W,30,23
2020-11-21,home,Illinois,L (23-41),18,30,60.0,177,1,44,215,4.9,2,74,392,5.3,10,14,1,25,7,66,2,3,5,L,23,41
2020-11-27,away,Iowa,L (20-26),21,25,84.0,195,0,38,143,3.8,2,63,338,5.4,8,12,0,20,4,40,2,0,2,L,20,26
2020-12-05,away,Purdue,W (37-27),24,31,77.4,253,1,40,111,2.8,3,71,364,5.1,12,5,3,20,9,107,0,0,0,W,37,27
2020-12-12,home,Minnesota,L (17-24),16,29,55.2,111,1,36,197,5.5,1,65,308,4.7,4,11,2,17,3,32,1,1,2,L,17,24
2020-12-18,away,Rutgers,W (28-21),24,28,85.7,255,1,58,365,6.3,3,86,620,7.2,12,15,0,27,9,56,2,2,4,W,28,21
2021-08-28,away,Illinois,L (22-30),16,32,50.0,232,1,39,160,4.1,2,71,392,5.5,10,8,1,19,5,67,1,0,1,L,22,30
2021-09-04,home,Fordham,W (52-7),21,30,70.0,304,1,65,329,5.1,6,95,633,6.7,14,20,0,34,2,10,2,0,2,W,52,7
