year,school,games,points,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
1970-01-01 00:00:00.000002000,Middle Tennessee State,11.0,31.8,19.8,33.3,59.6,239.2,1.3,36.7,194.4,5.3,2.7,70.0,433.5,6.2,10.6,9.4,2.0,22.0,7.2,65.5,0.9,1.0,1.9
1970-01-01 00:00:00.000002000,Boston College,11.0,31.5,15.5,27.9,55.7,213.9,1.8,41.9,201.0,4.8,2.0,69.8,414.9,5.9,9.4,10.0,1.3,20.6,7.2,53.6,0.3,1.1,1.4
1970-01-01 00:00:00.000002000,Mississippi State,11.0,31.5,14.2,25.6,55.3,192.5,0.8,41.9,193.8,4.6,2.5,67.5,386.4,5.7,7.2,10.1,0.9,18.2,10.3,86.9,1.4,0.8,2.2
1970-01-01 00:00:00.000002000,Minnesota,11.0,31.4,16.9,29.3,57.8,234.9,1.8,43.9,187.5,4.3,1.5,73.2,422.5,5.8,8.7,10.3,1.5,20.5,7.1,63.5,0.8,0.7,1.5
1970-01-01 00:00:00.000002000,Notre Dame,11.0,31.3,9.7,18.2,53.5,132.2,1.5,48.9,213.5,4.4,2.2,67.1,345.7,5.2,5.1,11.3,1.0,17.4,6.4,56.8,0.4,0.4,0.7
1970-01-01 00:00:00.000002000,Ohio,11.0,31.2,5.7,12.2,47.0,95.1,0.9,58.7,323.0,5.5,2.9,70.9,418.1,5.9,4.3,16.8,1.3,22.4,5.9,48.7,0.9,0.7,1.6
1970-01-01 00:00:00.000002000,San Jose State,12.0,31.2,15.8,31.4,50.1,228.3,1.3,35.8,189.1,5.3,2.4,67.2,417.3,6.2,9.6,8.4,1.5,19.5,8.3,65.3,0.7,1.1,1.8
1970-01-01 00:00:00.000002000,Colorado State,11.0,31.0,19.1,32.4,59.0,247.0,2.0,36.2,137.3,3.8,1.6,68.5,384.3,5.6,11.4,7.7,1.5,20.5,3.9,32.4,1.0,1.2,2.2
1970-01-01 00:00:00.000002000,North Carolina State,11.0,31.0,22.0,41.4,53.2,292.5,2.5,31.9,103.8,3.3,1.2,73.3,396.4,5.4,11.8,6.9,2.1,20.8,8.8,75.9,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,Indiana,11.0,30.6,12.8,27.1,47.3,172.7,1.0,45.9,266.4,5.8,3.1,73.0,439.1,6.0,7.5,13.5,2.4,23.4,6.5,55.6,1.4,1.4,2.7
1970-01-01 00:00:00.000002000,Akron,11.0,30.3,13.3,26.2,50.7,210.5,1.5,44.5,206.6,4.6,1.9,70.7,417.2,5.9,8.4,11.1,1.6,21.1,7.3,70.4,0.7,1.0,1.7
1970-01-01 00:00:00.000002000,UCF,11.0,30.3,22.6,37.7,60.0,295.2,2.5,28.1,78.7,2.8,1.2,65.8,373.9,5.7,12.8,5.9,1.5,20.3,8.8,72.5,1.2,1.6,2.8
1970-01-01 00:00:00.000002000,UCLA,11.0,30.3,17.8,33.0,54.0,264.0,2.1,38.6,98.7,2.6,1.6,71.6,362.7,5.1,10.8,6.4,2.2,19.4,7.0,62.2,1.0,1.0,2.0
1970-01-01 00:00:00.000002000,East Carolina,11.0,30.0,15.5,30.7,50.3,224.8,1.9,40.5,161.5,4.0,1.5,71.3,386.3,5.4,9.1,9.4,1.3,19.7,5.1,49.0,0.5,1.1,1.5
1970-01-01 00:00:00.000002000,Tulane,11.0,29.9,26.2,46.0,56.9,324.5,2.5,35.5,129.1,3.6,0.9,81.5,453.5,5.6,15.1,7.5,2.2,24.8,9.2,86.7,0.7,1.5,2.2
1970-01-01 00:00:00.000002000,Western Michigan,12.0,29.9,18.5,31.8,58.1,232.1,1.4,41.0,168.5,4.1,2.3,72.8,400.6,5.5,11.4,8.8,1.3,21.5,5.7,49.6,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,Ohio State,11.0,29.5,14.4,27.7,51.8,208.4,1.3,43.4,161.9,3.7,1.6,71.1,370.3,5.2,9.1,8.5,1.1,18.7,8.1,74.3,0.5,1.1,1.6
1970-01-01 00:00:00.000002000,Idaho,11.0,29.2,24.1,38.9,61.9,305.2,2.2,38.0,148.0,3.9,1.5,76.9,453.2,5.9,12.7,8.8,1.0,22.5,7.1,62.0,0.9,1.7,2.6
1970-01-01 00:00:00.000002000,Oregon,11.0,28.7,18.4,35.6,51.5,257.7,1.8,39.6,151.2,3.8,1.6,75.3,408.9,5.4,10.7,7.8,2.2,20.7,8.0,72.0,0.6,1.2,1.8
1970-01-01 00:00:00.000002000,Marshall,12.0,28.5,24.4,40.3,60.7,298.7,2.0,31.7,113.5,3.6,1.5,71.9,412.2,5.7,12.8,6.6,1.2,20.5,6.3,54.8,0.8,0.8,1.7
1970-01-01 00:00:00.000002000,Ole Miss,11.0,28.5,16.2,29.9,54.1,200.2,1.7,37.1,146.8,4.0,1.6,67.0,347.0,5.2,9.3,7.7,0.9,17.9,6.1,52.4,0.5,1.2,1.6
1970-01-01 00:00:00.000002000,UNLV,12.0,28.3,10.8,20.4,52.7,159.3,1.3,45.6,227.8,5.0,2.0,66.0,387.1,5.9,7.0,10.9,0.9,18.8,6.3,56.6,0.9,0.8,1.8
1970-01-01 00:00:00.000002000,Texas A&M,11.0,27.9,19.2,32.3,59.4,235.3,0.9,38.3,146.4,3.8,2.5,70.5,381.6,5.4,10.3,8.7,2.0,21.0,6.5,57.2,0.7,0.8,1.5
1970-01-01 00:00:00.000002000,West Virginia,11.0,27.9,13.7,29.5,46.6,207.5,1.0,41.0,140.8,3.4,1.8,70.5,348.3,4.9,8.6,7.5,1.9,18.0,6.3,51.5,1.1,0.9,2.0
1970-01-01 00:00:00.000002000,Iowa State,11.0,27.8,15.9,31.0,51.3,215.6,0.8,40.6,208.0,5.1,2.5,71.6,423.6,5.9,9.1,9.5,2.2,20.8,7.2,67.5,0.5,1.2,1.6
1970-01-01 00:00:00.000002000,Arizona State,11.0,26.9,17.4,37.0,46.9,266.8,1.9,40.4,114.2,2.8,1.0,77.4,381.0,4.9,10.3,7.5,1.6,19.4,8.2,65.7,1.2,1.1,2.3
1970-01-01 00:00:00.000002000,New Mexico State,11.0,26.8,11.9,24.3,49.1,159.3,1.7,48.6,270.2,5.6,1.5,72.9,429.5,5.9,7.2,13.1,1.5,21.7,9.2,74.5,1.2,0.8,2.0
1970-01-01 00:00:00.000002000,Georgia,11.0,26.7,16.5,31.3,52.6,215.0,1.3,35.8,131.9,3.7,1.6,67.1,346.9,5.2,9.5,7.9,1.4,18.8,6.1,45.0,1.0,1.5,2.5
1970-01-01 00:00:00.000002000,Illinois,11.0,26.7,18.8,32.8,57.3,217.2,2.0,39.5,162.7,4.1,1.3,72.4,379.9,5.3,9.0,9.8,2.0,20.8,4.1,36.4,1.1,0.9,2.0
1970-01-01 00:00:00.000002000,Syracuse,11.0,26.7,12.5,22.5,55.5,171.0,0.9,46.3,207.2,4.5,2.5,68.7,378.2,5.5,6.6,10.8,0.7,18.2,7.5,61.1,0.3,1.7,2.0
1970-01-01 00:00:00.000002000,LSU,11.0,26.5,16.6,32.1,51.8,245.3,2.2,35.8,131.1,3.7,1.2,67.9,376.4,5.5,10.0,7.3,1.0,18.3,7.4,64.3,0.5,1.5,2.0
1970-01-01 00:00:00.000002000,Utah State,11.0,26.5,19.8,38.6,51.3,266.2,1.7,29.5,120.3,4.1,1.5,68.2,386.5,5.7,10.3,7.2,1.6,19.1,7.0,66.7,1.1,0.8,1.9
1970-01-01 00:00:00.000002000,Louisiana Tech,12.0,26.4,29.8,45.5,65.4,309.6,2.5,27.6,103.3,3.7,0.9,73.1,412.9,5.6,14.4,7.4,2.0,23.8,7.4,62.8,1.1,2.3,3.4
1970-01-01 00:00:00.000002000,Southern Mississippi,11.0,26.0,18.3,31.9,57.3,221.2,1.4,38.0,102.6,2.7,1.4,69.9,323.8,4.6,10.2,6.1,1.8,18.1,6.6,52.4,1.2,0.9,2.1
1970-01-01 00:00:00.000002000,USC,12.0,25.8,20.4,37.2,54.9,262.3,1.6,37.7,153.6,4.1,1.4,74.8,415.9,5.6,11.3,8.3,2.0,21.6,9.4,81.4,1.5,1.5,3.0
1970-01-01 00:00:00.000002000,Fresno State,11.0,25.7,18.5,30.6,60.5,227.0,1.8,34.4,121.7,3.5,0.9,65.0,348.7,5.4,9.5,6.1,1.7,17.3,8.7,72.2,0.9,1.0,1.9
1970-01-01 00:00:00.000002000,Wisconsin,12.0,25.6,12.3,21.9,55.9,164.8,1.2,47.8,198.4,4.2,1.7,69.7,363.2,5.2,7.2,10.4,1.4,19.0,6.2,57.8,0.9,0.8,1.7
1970-01-01 00:00:00.000002000,Washington State,11.0,25.5,15.6,31.0,50.4,241.5,1.7,38.3,121.3,3.2,1.1,69.3,362.7,5.2,8.4,7.5,1.9,17.7,10.5,84.4,1.2,1.0,2.2
1970-01-01 00:00:00.000002000,South Florida,11.0,25.3,17.3,29.7,58.1,203.2,1.3,36.3,152.5,4.2,1.4,66.0,355.6,5.4,8.1,8.6,1.3,18.0,9.9,91.0,1.1,0.6,1.7
1970-01-01 00:00:00.000002000,Texas Tech,12.0,25.3,31.0,51.1,60.7,295.7,1.8,25.4,66.9,2.6,0.8,76.5,362.6,4.7,12.0,5.8,2.8,20.6,9.4,76.6,0.4,1.5,1.9
1970-01-01 00:00:00.000002000,Cincinnati,11.0,25.0,17.3,33.5,51.6,216.5,1.2,40.7,141.0,3.5,1.1,74.2,357.5,4.8,10.5,7.6,1.5,19.6,7.5,63.0,0.8,1.2,2.0
1970-01-01 00:00:00.000002000,Miami (OH),11.0,24.7,18.2,37.3,48.8,232.2,1.4,36.8,154.9,4.2,1.5,74.1,387.1,5.2,9.3,9.1,1.9,20.3,6.6,59.1,1.2,1.7,2.9
1970-01-01 00:00:00.000002000,Hawaii,12.0,24.5,25.8,50.8,50.7,322.9,2.1,19.9,73.8,3.7,1.1,70.7,396.7,5.6,14.4,4.2,1.8,20.4,9.7,69.2,0.8,1.9,2.8
1970-01-01 00:00:00.000002000,North Carolina,11.0,24.5,15.5,28.9,53.5,222.6,1.0,43.0,148.5,3.5,1.5,71.9,371.1,5.2,8.7,8.6,2.4,19.7,5.9,50.3,1.3,1.1,2.4
1970-01-01 00:00:00.000002000,Pitt,11.0,24.3,16.8,30.8,54.6,269.5,2.1,38.6,129.6,3.4,0.9,69.5,399.1,5.7,10.1,8.3,1.5,19.8,6.7,62.0,1.6,1.0,2.6
1970-01-01 00:00:00.000002000,Arkansas,11.0,24.0,16.2,32.0,50.6,174.2,1.3,38.6,150.3,3.9,1.6,70.6,324.5,4.6,8.6,7.9,1.5,18.0,6.2,48.5,0.9,1.4,2.3
1970-01-01 00:00:00.000002000,Auburn,12.0,24.0,17.3,29.5,58.8,193.3,1.2,38.5,163.3,4.2,1.6,68.0,356.7,5.2,8.8,7.8,1.4,18.0,6.8,54.2,0.9,1.0,1.9
1970-01-01 00:00:00.000002000,Kansas,11.0,23.7,13.2,29.2,45.2,183.9,0.9,42.7,157.4,3.7,1.8,71.9,341.3,4.7,8.2,8.6,2.2,19.0,6.8,59.0,1.6,1.0,2.6
1970-01-01 00:00:00.000002000,Stanford,11.0,23.7,16.9,35.0,48.3,236.8,1.8,41.1,138.9,3.4,1.1,76.1,375.7,4.9,9.8,7.7,2.0,19.5,5.8,42.8,1.1,1.0,2.1
1970-01-01 00:00:00.000002000,South Carolina,11.0,23.5,16.4,30.5,53.7,210.9,0.7,36.9,157.0,4.3,1.8,67.4,367.9,5.5,9.4,8.5,1.6,19.5,6.0,52.6,1.1,1.0,2.1
1970-01-01 00:00:00.000002000,Brigham Young,12.0,23.3,22.7,40.6,55.9,274.6,0.9,33.2,100.2,3.0,1.8,73.8,374.8,5.1,12.7,7.2,2.0,21.8,6.9,63.1,1.1,1.3,2.3
1970-01-01 00:00:00.000002000,Missouri,11.0,23.2,14.3,30.5,46.9,196.8,1.1,41.0,154.2,3.8,1.7,71.5,351.0,4.9,8.2,8.2,1.9,18.3,6.9,57.1,1.1,1.7,2.8
1970-01-01 00:00:00.000002000,Arizona,11.0,23.1,11.5,24.8,46.5,154.2,0.8,42.7,154.1,3.6,1.5,67.5,308.3,4.6,6.1,7.8,1.5,15.5,8.2,68.2,1.0,1.1,2.1
1970-01-01 00:00:00.000002000,Kentucky,11.0,23.1,29.3,51.3,57.1,335.4,1.7,27.7,110.1,4.0,0.8,79.0,445.5,5.6,14.2,7.2,2.0,23.4,8.1,65.1,1.0,1.9,2.9
